Year,CBPF Name,Total Allocation,Allocation (INGO),Allocation (NNGO),Allocation (Red Cross),Allocation (UN),Reserve Allocation (INGO),Reserve Allocation (NNGO),Reserve Allocation (Red Cross),Reserve Allocation (UN),Standard Allocation (INGO),Standard Allocation (NNGO),Standard Allocation (Red Cross),Standard Allocation (UN),Total Reserve Allocation,Total Standard Allocation,Total Under Approval Allocation,Under Approval Allocation (INGO),Under Approval Allocation (NNGO),Under Approval Allocation (Red),Under Approval Allocation (UN)
2020,"Sudan",75791589.6,43976949.77,10323275.35,0,21491364.48,14736474.88,2502866.6,0,16674865.47,29240474.89,7820408.75,0,4816499.01,33914206.95,41877382.65,0,0,0,0,0
2020,"Syria",68737943.05,19504738.08,15667169.38,1541539.94,32024495.65,3688674.6,3589864.36,1000024.28,19600526.32,15816063.48,12077305.02,541515.66,12423969.33,27879089.56,40858853.49,0,0,0,0,0
2020,"Syria Cross border",184592901.85,18527623.55,126730514.14,9893109.75,29441654.41,6206519.6,46570509.35,8921219.3,21872829.06,12321103.95,80160004.79,971890.45,7568825.35,83571077.31,101021824.54,0,0,0,0,0
2020,"Ukraine",10725140.42,4524349.14,3906856.32,357854,1936080.96,1190909.11,1256166.2,0,0,3333440.03,2650690.12,357854,1936080.96,2447075.31,8278065.11,0,0,0,0,0
2020,"Yemen",99093834.22,52326579.15,16314351.89,4997752.37,25455150.81,1220025,925689.98,0,21152170.8,51106554.15,15388661.91,4997752.37,4302980.01,23297885.78,75795948.44,0,0,0,0,0
2019,"Afghanistan",63781104.43,29512339.93,6773287.8,0,27495476.7,17018217.25,3977622.5,0,23466406.02,12494122.68,2795665.3,0,4029070.68,44462245.77,19318858.66,0,0,0,0,0
2019,"CAR",38998422.01,21039963.96,4911459.42,311966.19,12735032.44,1276168.16,84958.14,311966.19,1935466.35,19763795.8,4826501.28,0,10799566.09,3608558.84,35389863.17,0,0,0,0,0
2019,"DRC",78446955.82,53972633.19,18976256.25,1076200.22,4421866.16,24575340.39,6392861.6,0,4421866.16,29397292.8,12583394.65,1076200.22,0,35390068.15,43056887.67,0,0,0,0,0
2019,"Ethiopia",61032490.42,40556039.87,5924818.48,0,14551632.07,0,0,0,0,40556039.87,5924818.48,0,14551632.07,0,61032490.42,0,0,0,0,0
2019,"Iraq",82350483.05,51774471.9,15375096.6,0,15200914.55,927604.64,0,0,8461001.4,50846867.26,15375096.6,0,6739913.15,9388606.04,72961877.01,0,0,0,0,0
2019,"Jordan",8753790.86,5253463.01,2488917.81,415965.18,595444.86,40320.81,0,0,595444.86,5213142.2,2488917.81,415965.18,0,635765.67,8118025.19,0,0,0,0,0
2019,"Lebanon",10964198.82,4512721.37,2614637.58,0,3836839.87,0,0,0,3116047.6,4512721.37,2614637.58,0,720792.27,3116047.6,7848151.22,0,0,0,0,0
2019,"Myanmar",15495875.37,7392104.05,7780829.51,0,322941.81,1025832.69,463475.77,0,0,6366271.36,7317353.74,0,322941.81,1489308.46,14006566.91,0,0,0,0,0
2019,"Nigeria",27692844.53,13861966.99,6373705.45,0,7457172.09,13861966.99,6373705.45,0,7457172.09,0,0,0,0,27692844.53,0,0,0,0,0,0
